name,rating
Rohan Palmer,4.1
Timothy Dowd,4.9
Gonzalo Maturana,3.4
Liang Zhao,2.9
Karl Kuhnert,4.8
Everet Smith,5.0
Joyce Ho,2.9
Hossein Samei,4.6
Sue Mialon,3.5
Michael Prietula,2.2
Benn Konsynski,3.0
Richard Berlin,5.0
Chang Su,2.0
Noelle Giguere,5.0
Davi Cordeiro Moreira,2.3
Samuel Sober,4.6
KC Diwas,4.0
Matthew Bernstein,4.3
Jinsook Kim,4.0
Tetyana Balyuk,1.9
Brendan Montagnes,3.6
Bin Wei,3.3
Sameena Mulla,3.5
Kim Loudermilk,4.0
Laura Catano,2.5
Danielle Jung,4.1
Eugene Agichtein,2.9
Roger Deal,3.6
Ana Vieyra-Ramirez,5.0
Michelle Wright,4.5
Bernard Krumm,3.7
Jitendra Thakur,5.0
Robert Wyttenbach,3.4
Megan O'Neil,4.5
Nancy Bliwise,2.7
Nicole Yang,2.9
Elizabeth Lonsdorf,3.6
Lisa Lee,4.4
Cassandra Estep,3.9
Mike Lewis,4.9
Matt Lyle,5.0
Elaine Walker,3.3
Nikolay Osadchiy,3.9
J. Alex Grizzell,4.6
Michael Berger,4.6
Bill McKinnon,1.0
Bronwynn Tarr,1.0
Noelle McAfee,4.6
Tonio Andrade,4.8
Elena Pesavento,3.9
David Gorkin,4.2
Debra Spitulnik Vidali,4.3
Jeffrey Rosensweig,3.0
Heeju Sohn,5.0
John Wegner,3.7
Sandra Descourtis,5.0
Kayla Ibarra,5.0
Michael Chiddo,5.0
Elissa Marder,3.3
Jasmine Camero,5.0
Joslyn Gardner,4.0
Mary Grace DuPree,5.0
Katrina Dickson,3.5
Chris Suh,5.0
Jed Brody,4.5
Helena Pachon,2.1
Jona Braden,3.0
Dana Haugaard,5.0
Peter Hoeyng,3.9
Celia Campbell,1.0
Yisroel Cahn,4.8
Ross Knecht,4.4
Hazel Gold,2.8
Hwisang Cho,5.0
Nick Sturm,5.0
Michele Schreiber,5.0
Rajiv Garg,4.6
Kelvin Kan,4.4
Mary Mann,5.0
Daniel Fershtman,5.0
Mingke Tian,3.3
LG Thomas,2.8
Jason Cabitac,5.0
Jack Barlow,5.0
Eric Nelson,4.8
Vicki Powers,3.3
Kristin Wall,5.0
Simona Muratore,4.5
Eric Brussel,3.5
Colin Xu,5.0
Mary Lynn Owen,3.6
Cheryl Crowley,3.7
Persephone Hernandez-Vogt,4.7
Molly Zuckerman,2.0
Ken Anderson,4.2
Gregory Catellier,1.0
Michelle Andrews,2.8
Wei Wu,4.7
Hernan Feldman,4.0
Joel Silverman,2.3
Wang Mark,3.0
Judd Owen,3.2
Andrew Ward,4.5
Thomas Lancaster,4.2
Ben Wilson,5.0
Weihua An,3.4
Kathleen Leuschen,4.1
Sonal Nalkur,4.4
Greg Palermo,3.0
Chirissy Wang,4.3
Xixi Yu,3.5
Eugene Emory,1.8
Daphne Schechter,4.8
John Johnston,2.2
Laura Asherman,5.0
Deepanshu Verma,4.7
William Kelly,4.2
Brian Gravely,3.0
Bwesigye Mwesigire,5.0
Chad Cordova,4.5
Teelin Lucero,3.2
Marcelitte Failla,5.0
Bryce Frederickson,4.0
Zheng Fang,5.0
Daniel Parker,5.0
Christina Gavegnano,4.5
George Yancy,4.8
Juliette Apkarian,3.6
Em Nordling,5.0
Susan Tamasi,4.2
David Lynn,3.4
Brajesh Samarth,4.5
Peter Bing,3.5
Ellen Gough,5.0
Kurt Warncke,3.6
Michael Heaven,3.0
Miriam Udel,4.6
Shun Yan Cheung,4.5
John Patty,5.0
Cameron Pratt,5.0
Khalid Salaita,3.5
Katherine Davis,4.4
Andrew Kobin,3.4
Juan Estrada Sosa,3.7
Beth Reingold,2.2
Anna Grimshaw,3.8
Jeremy Bell,4.9
David Morgen,4.3
Sean Meighoo,4.3
Lobsang Negi,4.1
Kristin O'Neal,5.0
Esfandiar Maasoumi,2.9
Joseph Crespino,4.4
Bernard Fraga,5.0
Calvin Warren,4.4
Mahmuda Sharmin,2.7
Philip Kragel,3.3
Alexander Bolton,4.4
Lisa DuPree,3.1
Gregory Berns,4.0
Eric Goldstein,2.8
Joe Sutherland,4.3
Suhas Sridharan,4.3
Seth Goss,3.1
Michael Owens,3.2
Angelika Bammer,4.7
Karen Hegtvedt,3.8
Guangqiu Liang,3.0
Dwight Andrews,3.2
Hannah Griggs,4.8
Tyler Tennant,5.0
Todd Cronan,3.5
Willie Hurst,5.0
Rkia Cornell,4.7
Daniel McCarthy,5.0
Jessica Sun,5.0
Frank Voigt,5.0
Aaron Putt,5.0
Nelson Lind,2.1
Jennifer Gandhi,3.2
Kimberly Belflower,5.0
Paul Lennard,3.7
Brenton Boyd,5.0
Guangchen Chen,3.0
Ariel Lawrence,4.4
Lukas Ovrom,4.0
Scott Garner,5.0
Rachelle Spell,3.2
Souad Kherbi,4.4
Richmond Embeywa,5.0
Stephan Hamann,4.1
Larry Wilson,4.0
Timothy Sun,1.8
Tracey Brent-Chessum,4.0
Rachel Sutton,5.0
Chinmay Kulkarni,1.3
Anmol Sahni,4.0
